question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	1	1	B	1	Vitamin D	126	Science	Biology		Queen's	Dennis	10	124	0.984			
2018-01-20	Toronto	1	1	B	5	flutes	123	Arts	Other Art	Other Music	Queen's	Jack	10	104	0.846			
2018-01-20	Toronto	1	1	B	6	Frederick the Great	143	History	Continental European History (post-600 CE)		Queen's	Kevin	10	48	0.336			
2018-01-20	Toronto	1	1	B	7	Posner	146	RMPSS	Social Science		Queen's	Dennis	10	114	0.781			
2018-01-20	Toronto	1	1	B	8	India	139	Other	Geography		Queen's	Jack	10	41	0.295			
2018-01-20	Toronto	1	1	B	9	thermoclines	133	Science	Other Science	Earth Science	Queen's	Dennis	10	133	1.0	bounceback-end		
2018-01-20	Toronto	1	1	B	11	al-Ghazali	140	RMPSS	Philosophy		Queen's	Kevin	10	140	1.0			
2018-01-20	Toronto	1	1	B	12	Armenians	145	History	US History		Queen's	Dennis	-5	59	0.407			
2018-01-20	Toronto	1	1	B	14	the creation of the world	148	Arts	Music		Queen's	Jack	0	148	1.0	bounceback		
2018-01-20	Toronto	1	1	B	17	Fiji	116	History	Other History		Queen's	Dennis	-5	52	0.448			
2018-01-20	Toronto	1	1	B	2	Walden	143	Literature	Miscellaneous Lit		McGill B	Jack Guo	10	124	0.867			
2018-01-20	Toronto	1	1	B	3	Boreas	137	RMPSS	Mythology		McGill B	Austin Friesacher	10	134	0.978			
2018-01-20	Toronto	1	1	B	4	The Great Game	154	History	British, Canadian, Australian, New Zealand History		McGill B	Hu Ham	10	130	0.844			
2018-01-20	Toronto	1	1	B	9	thermoclines	133	Science	Other Science	Earth Science	McGill B	Jack Guo	0	133	1.0			
2018-01-20	Toronto	1	1	B	10	endings	165	Literature	Long Fiction		McGill B	Austin Friesacher	10	86	0.521			
2018-01-20	Toronto	1	1	B	12	Armenians	145	History	US History		McGill B	Hu Ham	10	93	0.641	bounceback		
2018-01-20	Toronto	1	1	B	13	velocity	141	Science	Chemistry		McGill B	Jack Guo	10	138	0.979			
2018-01-20	Toronto	1	1	B	14	the creation of the world	148	Arts	Music		McGill B	Jack Guo	-5	100	0.676			
2018-01-20	Toronto	1	1	B	15	Samuel Beckett	148	Literature	Drama		McGill B	Henry Atkins	10	119	0.804			
2018-01-20	Toronto	1	1	B	16	Victor Hugo	146	Literature	Non-Epic Poetry		McGill B	Henry Atkins	10	119	0.815			
2018-01-20	Toronto	1	1	B	17	Fiji	116	History	Other History		McGill B	Hu Ham	10	116	1.0	bounceback		
2018-01-20	Toronto	1	1	B	18	Kabbalah	137	RMPSS	Religion		McGill B	Hu Ham	10	109	0.796			
2018-01-20	Toronto	1	1	B	19	tombs	142	Arts	Painting/Sculpture		McGill B	Henry Atkins	10	80	0.563			
2018-01-20	Toronto	1	1	B	20	mass	138	Science	Physics		McGill B	Jack Guo	10	121	0.877			
2018-01-20	Toronto	1	2	C	2	Thales of Miletus	152	RMPSS	Philosophy		Waterloo A	Cole Lloyd Bedard Jackes	-5	104	0.684			
2018-01-20	Toronto	1	2	C	4	houses	138	Arts	Other Art	Architecture	Waterloo A	Erik Christensen	0	138	1.0			
2018-01-20	Toronto	1	2	C	10	Jacksonville Jaguars	142	Other	Trash		Waterloo A	Erik Christensen	10	56	0.394			
2018-01-20	Toronto	1	2	C	11	Sukarno	131	History	Other History		Waterloo A	Erik Christensen	-5	69	0.527			
2018-01-20	Toronto	1	2	C	12	Finland	140	Arts	Music		Waterloo A	Nicholas Sunderland	10	126	0.9			
2018-01-20	Toronto	1	2	C	14	the she-wolf	137	RMPSS	Mythology		Waterloo A	Cole Lloyd Bedard Jackes	10	67	0.489			
2018-01-20	Toronto	1	2	C	15	Nineveh	130	History	Continental or Near Eastern History (pre-600 CE)		Waterloo A	Erik Christensen	0	130	1.0	bounceback		
2018-01-20	Toronto	1	2	C	19	counting	132	RMPSS	Social Science		Waterloo A	Erik Christensen	10	94	0.712			
2018-01-20	Toronto	1	2	C	20	Saint Jerome	135	Arts	Painting/Sculpture		Waterloo A	Erik Christensen	10	117	0.867			
2018-01-20	Toronto	1	2	C	1	Peter the Great	146	History	Continental European History (post-600 CE)		Carleton	Cameron Amini	10	94	0.644			
2018-01-20	Toronto	1	2	C	2	Thales of Miletus	152	RMPSS	Philosophy		Carleton	Ian Dewan	10	127	0.836	bounceback		
2018-01-20	Toronto	1	2	C	3	E. T. A. Hoffmann	142	Literature	Short Fiction		Carleton	Ian Dewan	10	124	0.873			
2018-01-20	Toronto	1	2	C	5	radial	143	Science	Physics		Carleton	Ian Dewan	10	142	0.993			
2018-01-20	Toronto	1	2	C	6	neoconservatism	124	History	US History		Carleton	Cameron Amini	10	70	0.565			
2018-01-20	Toronto	1	2	C	7	Germinal	142	Literature	Long Fiction		Carleton	Ian Dewan	10	133	0.937			
2018-01-20	Toronto	1	2	C	8	specific heat capacity	135	Science	Chemistry		Carleton	Ted Gan	10	100	0.741			
2018-01-20	Toronto	1	2	C	9	Darwinian evolution	135	RMPSS	Religion		Carleton	Ian Dewan	10	105	0.778			
2018-01-20	Toronto	1	2	C	11	Sukarno	131	History	Other History		Carleton	Cameron Amini	10	129	0.985	bounceback		
2018-01-20	Toronto	1	2	C	13	bacterial conjugation	138	Science	Biology		Carleton	Ian Dewan	10	88	0.638			
2018-01-20	Toronto	1	2	C	15	Nineveh	130	History	Continental or Near Eastern History (pre-600 CE)		Carleton	Cameron Amini	-5	78	0.6			
2018-01-20	Toronto	1	2	C	16	“Tintern Abbey”	163	Literature	Non-Epic Poetry		Carleton	Ted Gan	10	151	0.926			
2018-01-20	Toronto	1	2	C	17	Ceres	139	Science	Other Science	Astronomy	Carleton	Cameron Amini	10	129	0.928			
2018-01-20	Toronto	1	2	C	18	Billy Budd	138	Literature	Long Fiction		Carleton	Ian Dewan	10	101	0.732			
2018-01-20	Toronto	1	3	I	1	Polish hussars	141	History	Continental European History (post-600 CE)		Toronto A	Paul Kasinski	10	47	0.333			
2018-01-20	Toronto	1	3	I	2	dictionary	143	Literature	Long Fiction		Toronto A	Raymond Chen	10	143	1.0	bounceback		
2018-01-20	Toronto	1	3	I	3	quantum fields	141	Science	Physics		Toronto A	Paul Kasinski	10	141	1.0			
2018-01-20	Toronto	1	3	I	4	Australia	145	Other	Current Events		Toronto A	Ben Hillier-Weltman	10	82	0.566			
2018-01-20	Toronto	1	3	I	5	Punch	149	Arts	Other Art	Other Visual	Toronto A	Paul Kasinski	10	134	0.899			
2018-01-20	Toronto	1	3	I	6	Western novels	154	Literature	Long Fiction		Toronto A	Paul Kasinski	0	154	1.0	bounceback		
2018-01-20	Toronto	1	3	I	7	dinitrogen	139	Science	Chemistry		Toronto A	Raymond Chen	10	125	0.899			
2018-01-20	Toronto	1	3	I	8	Ludwig van Beethoven	142	Arts	Music		Toronto A	Zhenglin Liu	10	34	0.239			
2018-01-20	Toronto	1	3	I	9	Robert Falcon Scott	139	History	British, Canadian, Australian, New Zealand History		Toronto A	Paul Kasinski	10	83	0.597			
2018-01-20	Toronto	1	3	I	10	decolonization	149	RMPSS	Philosophy		Toronto A	Raymond Chen	-5	65	0.436			
2018-01-20	Toronto	1	3	I	11	Saki	148	Literature	Short Fiction		Toronto A	Zhenglin Liu	10	148	1.0			
2018-01-20	Toronto	1	3	I	12	Niagara Falls	126	History	US History		Toronto A	Paul Kasinski	10	90	0.714			
2018-01-20	Toronto	1	3	I	15	Bashō’s frog haiku	152	Literature	Non-Epic Poetry		Toronto A	Zhenglin Liu	10	152	1.0			
2018-01-20	Toronto	1	3	I	16	tidal forces	134	Science	Other Science	Astronomy	Toronto A	Paul Kasinski	10	91	0.679			
2018-01-20	Toronto	1	3	I	17	combs	144	RMPSS	Mythology		Toronto A	Raymond Chen	10	86	0.597			
2018-01-20	Toronto	1	3	I	18	Senegal River	139	History	Other History		Toronto A	Paul Kasinski	-5	91	0.655			
