question_set_edition	tournament	room	round	packet	bonus	answer1	answer2	answer3	category	subcategory	subsubcategory	team	value1	value2	value3
2018-01-20	Toronto	1	1	B	1	phase transitions	topological phases	David James Thouless	Science	Physics		Queen's	10	0	0
2018-01-20	Toronto	1	1	B	2	Constantinople	Baldwin	Asen dynasty	History	Continental European History (post-600 CE)		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	3	golden apples	Paris	Tír na nÓg	RMPSS	Mythology		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	4	perfect numbers	Mersenne primes	aliquot sequence	Science	Other Science	Math	McGill B	10	10	0
2018-01-20	Toronto	1	1	B	5	Stalwarts	James A. Garfield	Oneida Community	History	US History		Queen's	10	10	0
2018-01-20	Toronto	1	1	B	6	Czesław Miłosz	poems	the end of the world	Literature	Non-Epic Poetry		Queen's	0	10	10
2018-01-20	Toronto	1	1	B	7	Holika	bhakti	Kama	RMPSS	Religion		Queen's	0	0	10
2018-01-20	Toronto	1	1	B	8	piano concerto	Maurice Ravel	Piano Concerto No. 3 by Sergei Prokofiev	Arts	Music		Queen's	10	10	0
2018-01-20	Toronto	1	1	B	9	Call It Sleep	Portnoy’s Complaint	Roth	Literature	Long Fiction		Queen's	0	0	10
2018-01-20	Toronto	1	1	B	10	boogie-woogie	Piet Mondrian	Bridget Riley	Arts	Painting/Sculpture		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	11	oration	Athens	Mary Renault	Literature	Miscellaneous Lit		Queen's	0	10	0
2018-01-20	Toronto	1	1	B	12	Sea Peoples	Herodotus	Suppiluliuma	History	Continental or Near Eastern History (pre-600 CE)		McGill B	10	10	0
2018-01-20	Toronto	1	1	B	13	“Maman died today”	The Stranger	Nervous Conditions	Literature	Long Fiction		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	14	norbornene	polymerization	carbocations	Science	Chemistry		McGill B	0	10	10
2018-01-20	Toronto	1	1	B	15	Big Data	Cathy O’Neil	recidivism risk	Other	Other Academic		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	16	Caste Wars	Mayan people	K’iche’ Maya	History	Other History		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	17	Proto-Indo-European	Neogrammarians	William Labov	RMPSS	Social Science		McGill B	10	0	0
2018-01-20	Toronto	1	1	B	18	stop codons	translation	pyrrolysine	Science	Biology		McGill B	0	10	0
2018-01-20	Toronto	1	1	B	19	Shulamith Firestone	orgasm	Wilhelm Reich	RMPSS	Philosophy		McGill B	0	10	0
2018-01-20	Toronto	1	2	C	1	Vincenzo Bellini	Romeo and Juliet	Il Pirata	Arts	Other Art	Opera	Carleton	0	10	0
2018-01-20	Toronto	1	2	C	2	gibberellins	rice	20	Science	Biology		Carleton	10	10	0
2018-01-20	Toronto	1	2	C	3	Faraday Future	Gigafactory	Andrew Cuomo	Other	Current Events		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	4	Roger Mortimer, 1st Earl of March	Hundred Years’ War	Battle of Bannockburn	History	British, Canadian, Australian, New Zealand History		Carleton	10	10	10
2018-01-20	Toronto	1	2	C	5	Antonio Machado	Ruben Dario	evil	Literature	Non-Epic Poetry		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	6	The Calculus of Consent: Logical Foundations of Constitutional Democracy	public choice theory	Virginia	RMPSS	Social Science		Carleton	0	0	0
2018-01-20	Toronto	1	2	C	7	density matrix	Liouville’s theorem	entropy	Science	Physics		Carleton	0	0	10
2018-01-20	Toronto	1	2	C	8	Burgundy	John the Fearless	Feast of the Pheasant	History	Continental European History (post-600 CE)		Carleton	10	0	10
2018-01-20	Toronto	1	2	C	9	James Baldwin’s father	Native Son	preacher	Literature	Miscellaneous Lit		Waterloo A	0	10	0
2018-01-20	Toronto	1	2	C	10	apples OR acorns	René Descartes	Philosophical Investigations	RMPSS	Philosophy		Carleton	0	10	10
2018-01-20	Toronto	1	2	C	11	gates	Forbidden City	Nanjing	History	Other History		Waterloo A	10	10	10
2018-01-20	Toronto	1	2	C	12	vases	red-figure painting	meanders	Arts	Painting/Sculpture		Carleton	10	10	0
2018-01-20	Toronto	1	2	C	13	tirthankaras	karmas	Bhagavata Purana	RMPSS	Religion		Waterloo A	0	10	0
2018-01-20	Toronto	1	2	C	14	triple bond	Zaitsev’s rule	neopentyl group	Science	Chemistry		Carleton	0	10	0
